,Title,Questions,answers
103,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',What technologies will be used to improve solar PV output forecasts and grid management?,"The system will use weather prediction, remote sensing, machine learning and grid modelling."
104,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',What data will be used to improve solar PV output forecasts and grid management?,"The system will make use of the growing pool of solar irradiance data generated as more sensors are installed on the rooftops of buildings, and weather data from the dense network of sensors installed by Meteorological Service Singapore (MSS) island wide."
105,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',Why is forecasting solar power output in Singapore challenging?,Forecasting solar power output in Singapore is challenging due to the complexities of local weather systems.
106,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',How much was the research grant awarded by EMA?,The research grant awarded by EMA was $6.2m.
107,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',What is the role of Meteorological Service Singapore (MSS) in the research project?,Meteorological Service Singapore (MSS) will provide weather data from the dense network of sensors installed island wide to improve solar PV output forecasts and grid management.
108,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',What is the aim of using machine learning in the research project?,The aim of using machine learning in the research project is to improve the accuracy of solar PV output forecasts and grid management.
109,EMA: b'EMA Awards $6.2 Million Research Grant to Develop Solar Forecasting Capabilities',What is remote sensing and how will it be used in the research project?,Remote sensing is the acquisition of information about an object or phenomenon without making physical contact with the object. It will be used in the research project to improve the accuracy of solar PV output forecasts and grid management.
110,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is the Singaporean government's solar energy deployment target for 2030?,The Singaporean government has set a target to deploy 2 gigawatt-peak (GWp) of solar energy by 2030.
111,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',Did Singapore meet its 2020 solar deployment target?,"Yes, Singapore has already met its 2020 solar deployment target of 350 megawatt-peak (MWp)."
112,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is Singapore's solar deployment target for 2025?,Singapore plans to achieve 1.5 GWp of solar energy deployment by 2025.
113,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',How many households in Singapore can be powered by 1.5 GWp of solar energy?,"1.5 GWp of solar energy is equivalent to powering around 260,000 households in Singapore annually."
114,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',Has the cost of solar panels increased or decreased over time?,The cost of solar panels has decreased over time.
115,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',How much has the installed solar capacity in landed homes grown since 2015?,"The installed solar capacity in landed homes has grown about four times since 2015, from 3.6 MWp to around 14.9 MWp as at the fourth quarter of last year."
116,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is the Energy Market Authority (EMA) seeking to do for consumers?,"The Energy Market Authority (EMA) seeks to make it easier for consumers, including landed homeowners, to sell their excess solar energy."
117,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is the unit of measurement for solar energy deployment targets?,The unit of measurement for solar energy deployment targets is gigawatt-peak (GWp).
118,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is the benefit of achieving Singapore's solar energy deployment targets?,Achieving Singapore's solar energy deployment targets will help to reduce carbon emissions and promote sustainable energy use.
119,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is the significance of the 2030 target for solar energy deployment?,The 2030 target for solar energy deployment is significant as it aligns with Singapore's goal of reducing its greenhouse gas emissions by 36% from 2005 levels by 2030.
120,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the Memorandum of Understanding signed between JTC Corporation and Shell Singapore?,"The Memorandum of Understanding is for jointly exploring the development of a solar farm on part of Semakau Landfill, south of the Singapore mainland."
121,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the expected area and capacity of the solar farm?,The solar farm is expected to take up an area of 60ha and have a capacity of at least 72MWp.
122,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the expected reduction in CO2 emissions from the solar farm?,"The solar farm is expected to reduce CO2 emissions by 37,000 tonnes a year."
123,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',How many households can be powered by the energy produced from the solar farm?,"The energy produced can power up to 17,500 households for a year."
124,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the target for solar deployment in Singapore by 2030?,The target for solar deployment in Singapore by 2030 is at least 2GWp.
125,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',Who are the parties involved in the Memorandum of Understanding?,The parties involved in the Memorandum of Understanding are JTC Corporation and Shell Singapore.
126,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',Where is the proposed location for the solar farm?,"The proposed location for the solar farm is on part of Semakau Landfill, south of the Singapore mainland."
127,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the capacity of the solar farm?,The solar farm has a capacity of at least 72MWp.
128,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the expected annual CO2 emissions reduction from the solar farm?,"The solar farm is expected to reduce CO2 emissions by 37,000 tonnes a year."
129,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the significance of this project?,This project is aligned with Singapore's target to increase solar deployment to at least 2GWp by 2030.
130,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What is the Solar Forecasting Model?,The Solar Forecasting Model is a tool developed by the Solar Energy Research Institute of Singapore (SERIS) at the National University of Singapore (NUS) that can forecast Singapore's island-wide solar irradiance up to one hour ahead.
131,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What is the average error rate of the Solar Forecasting Model?,The Solar Forecasting Model has an average error rate lower than 10%.
132,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What is the benefit of the Solar Forecasting Model?,The Solar Forecasting Model allows Singapore's power system operator to anticipate solar power output ahead of time and take pre-emptive actions to manage solar intermittency and balance the power grid.
133,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',Who developed the Solar Forecasting Model?,The Solar Forecasting Model was developed by the Solar Energy Research Institute of Singapore (SERIS) at the National University of Singapore (NUS).
134,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What is Singapore's goal for solar capacity by 2030?,Singapore aims to deploy at least 2 gigawatt-peak (GWp) of solar capacity by 2030.
135,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',How long was the trial period for the Solar Forecasting Model?,The trial period for the Solar Forecasting Model was one year.
136,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What can the power system operator do with the Solar Forecasting Model?,The power system operator can anticipate solar power output ahead of time and take pre-emptive actions to manage solar intermittency and balance the power grid with the help of the Solar Forecasting Model.
137,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What is the purpose of managing solar intermittency?,Managing solar intermittency helps to ensure a stable and reliable power supply from solar energy sources.
138,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What is the significance of the Solar Forecasting Model for Singapore's energy sector?,"The Solar Forecasting Model is significant for Singapore's energy sector as it helps to increase the reliability and efficiency of the power grid, and supports the country's goal of increasing its solar capacity."
139,EMA: b'Enhancing Singapores Solar Adoption and Grid Reliability with Solar Forecasting Tools',What institution is responsible for the development of the Solar Forecasting Model?,The Solar Energy Research Institute of Singapore (SERIS) at the National University of Singapore (NUS) is responsible for the development of the Solar Forecasting Model.
