,Title,Questions,answers
0,Appointing a Solar PV System Contractor | Getting Started | Choosing between bids | ,Why is it a good practice to obtain multiple bids for the installation of a solar PV system?,It is a good practice to obtain multiple bids for the installation of a solar PV system to ensure that consumers get the best deal and that all bids are made on the same basis.
113,Solar PV System Installation Requirements | Conservation and Development Control Requirements | No subheader2 | ,What guidelines apply if a solar PV system is installed on the rooftop of an attic?,The attic guidelines will apply.
114,Solar PV System Installation Requirements | Conservation and Development Control Requirements | No subheader2 | ,What guidelines apply if a solar PV system is installed on raised structures like a pavilion?,The pavilion guidelines will apply.
115,Solar PV System Installation Requirements | Conservation and Development Control Requirements | No subheader2 | ,Is there any specific guideline for the installation of solar PV system on a building?,"No, there is no specific guideline for the installation of solar PV system on a building."
116,Solar PV System Installation Requirements | Conservation and Development Control Requirements | No subheader2 | ,Does URA regulate the design of solar PV systems?,"No, URA does not regulate the design of solar PV systems."
117,Solar PV System Installation Requirements | Conservation and Development Control Requirements | No subheader2 | ,Are there any restrictions on the size of solar PV systems that can be installed?,There are no specific restrictions on the size of solar PV systems that can be installed.
118,Solar PV System Installation Requirements | Conservation and Development Control Requirements | No subheader2 | ,Is there any requirement for obtaining permission before installing a solar PV system?,"No, there is no requirement for obtaining permission before installing a solar PV system."
119,Solar PV System Installation Requirements | Conservation and Development Control Requirements | No subheader2 | ,Are there any incentives provided by URA for installing solar PV systems?,"No, there are no incentives provided by URA for installing solar PV systems."
120,Solar PV System Installation Requirements | Design and Installation Checklist | No subheader2 | ,What should be ensured about PV modules connected to the same inverter?,They should face the same direction.
121,Solar PV System Installation Requirements | Design and Installation Checklist | No subheader2 | ,What should be ensured about the mounting of PV modules?,They should be mounted at an incline for self-cleaning.
122,Solar PV System Installation Requirements | Design and Installation Checklist | No subheader2 | ,What is the recommended incline for framed modules?,10 to 15 degrees.
123,Solar PV System Installation Requirements | Design and Installation Checklist | No subheader2 | ,What is the recommended incline for unframed modules?,As low as 3-5 degrees.
124,Solar PV System Installation Requirements | Design and Installation Checklist | No subheader2 | ,What should be ensured about the ventilation space behind the PV array?,It should be sufficient for cooling purposes.
125,Solar PV System Installation Requirements | Design and Installation Checklist | No subheader2 | ,What should be ensured about the cabling used in the PV system?,It should meet sufficient current-carrying capacity and be suitably rated for usage in the environment.
126,Solar PV System Installation Requirements | Design and Installation Checklist | No subheader2 | ,What should be ensured about the DC cables used in the PV system?,They should be single-core and double-insulated.
127,Solar PV System Installation Requirements | Design and Installation Checklist | No subheader2 | ,What should be ensured about the cable insulation on outdoor cables?,It must withstand high temperature and UV exposure for an estimated period of more than 20 years.
128,Solar PV System Installation Requirements | Design and Installation Checklist | No subheader2 | ,What type of cables are inadequate on the DC side of the PV system?,PVC and xLPE cables.
129,Solar PV System Installation Requirements | Design and Installation Checklist | No subheader2 | ,What should be determined about the need for a Lightning Protection System?,Whether it is needed or not.
130,Solar PV System Installation Requirements | Electrical Installation Licence | No subheader2 | ,What is an electrical installation?,"An electrical installation refers to any electrical wiring, fitting or apparatus used for the conveyance and control of electricity in any premises."
131,Solar PV System Installation Requirements | Electrical Installation Licence | No subheader2 | ,What regulations should a solar PV system comply with in Singapore?,"A solar PV system installed within premises should comply with the requirements stipulated in the Electricity Act (Cap. 89A), the Electricity (Electrical Installations) Regulations and the Singapore Standard CP5 Code of Practice for Electrical Installations."
132,Solar PV System Installation Requirements | Electrical Installation Licence | No subheader2 | ,Who licenses non-residential electrical installations in Singapore?,The Energy Market Authority (EMA) licenses all non-residential electrical installations with demand exceeding 45 kilo volt ampere or kVA.
133,Solar PV System Installation Requirements | Electrical Installation Licence | No subheader2 | ,Is an electrical installation licence required for residential electrical installations and non-residential electrical installations with demand below 45kVA?,"No, an electrical installation licence is not required for residential electrical installations and non-residential electrical installations with demand below the threshold of 45kVA."
134,Solar PV System Installation Requirements | Electrical Installation Licence | No subheader2 | ,What does an electrical installation licence require?,The licence requires the owner of the electrical installation to engage an LEW to take charge of the electrical installation and comply with the relevant safety standards and requirements.
135,Solar PV System Installation Requirements | Electrical Installation Licence | No subheader2 | ,What is the role of an LEW in an electrical installation?,The LEW is responsible for taking charge of the electrical installation and ensuring compliance with the relevant safety standards and requirements.
136,Solar PV System Installation Requirements | Electrical Installation Licence | No subheader2 | ,Who should the appointed LEW consult for technical requirements and procedures when operating a solar PV system in parallel with the power grid?,The appointed LEW should consult SP PowerGrid Ltd for their technical requirements and procedures when operating a solar PV system in parallel with the power grid.
137,Solar PV System Installation Requirements | Electrical Installation Licence | No subheader2 | ,"What is the objective of ensuring all electrical installations, including solar PV systems, are safe to use?","The objective is to ensure the safety of all electrical installations, including solar PV systems, for their users."
138,Solar PV System Installation Requirements | Electrical Installation Licence | No subheader2 | ,What is the demand threshold for non-residential electrical installations that require licensing in Singapore?,Non-residential electrical installations with demand exceeding 45 kilo volt ampere or kVA require licensing in Singapore.
139,Solar PV System Installation Requirements | Electrical Installation Licence | No subheader2 | ,What is the Singapore Standard CP5 Code of Practice for Electrical Installations?,The Singapore Standard CP5 Code of Practice for Electrical Installations is a set of guidelines and standards for the installation and maintenance of electrical systems in Singapore.
140,Solar PV System Installation Requirements | Electrical Safety Standards and Requirements | No subheader2 | ,What is a grid-connected solar PV system?,A grid-connected solar PV system operates in parallel with the power grid supply.
141,Solar PV System Installation Requirements | Electrical Safety Standards and Requirements | No subheader2 | ,What is considered the source in a grid-connected solar PV system?,The power grid supply is considered the source.
142,Solar PV System Installation Requirements | Electrical Safety Standards and Requirements | No subheader2 | ,What is considered the load in a grid-connected solar PV system?,The electrical installation with the solar PV system connected is considered as the load.
143,Solar PV System Installation Requirements | Electrical Safety Standards and Requirements | No subheader2 | ,Where can I find the technical requirements for installation of a solar PV system?,The technical requirement for installation of a solar PV system is given in Section 612 of the Singapore Standard CP5.
144,Solar PV System Installation Requirements | Electrical Safety Standards and Requirements | No subheader2 | ,What are the international product standards for PV modules?,PV modules should comply with the requirements of IEC 61215 for crystalline silicon terrestrial PV modules or IEC 61646 for thin-film terrestrial PV modules.
145,Solar PV System Installation Requirements | Electrical Safety Standards and Requirements | No subheader2 | ,"What are the international product standards for PV array junction box, PV generator junction box and switchgear assemblies?","PV array junction box, PV generator junction box and switchgear assemblies should comply with the requirements of IEC 60439-1."
146,Solar PV System Installation Requirements | Electrical Safety Standards and Requirements | No subheader2 | ,What is the product standard for crystalline silicon terrestrial PV modules?,The product standard for crystalline silicon terrestrial PV modules is IEC 61215.
147,Solar PV System Installation Requirements | Electrical Safety Standards and Requirements | No subheader2 | ,What is the product standard for thin-film terrestrial PV modules?,The product standard for thin-film terrestrial PV modules is IEC 61646.
148,Solar PV System Installation Requirements | Electrical Safety Standards and Requirements | No subheader2 | ,"What is the product standard for PV array junction box, PV generator junction box and switchgear assemblies?","The product standard for PV array junction box, PV generator junction box and switchgear assemblies is IEC 60439-1."
149,Solar PV System Installation Requirements | Electrical Safety Standards and Requirements | No subheader2 | ,What is the section number in the Singapore Standard CP5 that provides technical requirements for installation of a solar PV system?,The technical requirement for installation of a solar PV system is given in Section 612 of the Singapore Standard CP5.
