,Title,Questions,answers
92,EMA: b'EMA-PSA Partnership',Who launched the joint grant call for proposals in smart grids and energy storage?,EMA and PSA Singapore launched the joint grant call for proposals in smart grids and energy storage.
93,EMA: b'EMA-PSA Partnership',What is the role of Envision Digital International in the ASGARD Project?,Envision Digital International is part of the project team and is involved in the development of the smart grid management system.
94,EMA: b'EMA-PSA Partnership',What is the role of Anacle Systems Limited in the ASGARD Project?,Anacle Systems Limited is part of the project team and is involved in the development of the smart grid management system.
95,EMA: b'EMA-PSA Partnership',What is the role of Durapower Technology in the ASGARD Project?,Durapower Technology is part of the project team and is involved in the development of the hybrid energy storage system.
96,EMA: b'EMA-PSA Partnership',What is the role of the National University of Singapore in the ASGARD Project?,The National University of Singapore is part of the project team and is involved in the development of the smart grid management system.
97,EMA: b'EMA-PSA Partnership',What is the role of the Singapore University of Technology and Design in the ASGARD Project?,The Singapore University of Technology and Design is part of the project team and is involved in the development of the smart grid management system.
98,EMA: b'EMA-PSA Partnership',What is the purpose of the hybrid energy storage system in the ASGARD Project?,The purpose of the hybrid energy storage system is to validate the use of second-life batteries for automated guided vehicles.
99,EMA: b'EMA-PSA Partnership',What is the aim of the ASGARD Project?,"The aim of the ASGARD Project is to reduce energy usage, costs, and Singapore's carbon footprint through the implementation of smart grid technologies and energy storage solutions."
100,EMA: b'Singapores First Energy Storage System at PSAs Pasir Panjang Terminal',What is the purpose of Singapore's first Energy Storage System (ESS)?,To improve the energy efficiency of port operations and reduce the port's carbon footprint.
101,EMA: b'Singapores First Energy Storage System at PSAs Pasir Panjang Terminal',Where is the ESS deployed?,At Pasir Panjang Terminal.
102,EMA: b'Singapores First Energy Storage System at PSAs Pasir Panjang Terminal',When will the ESS be operational?,In Q3 2022.
103,EMA: b'Singapores First Energy Storage System at PSAs Pasir Panjang Terminal',What is the capacity of the ESS?,2 megawatts/2 megawatt-hours.
104,EMA: b'Singapores First Energy Storage System at PSAs Pasir Panjang Terminal',What is the potential improvement in energy efficiency of port operations?,2.5%.
105,EMA: b'Singapores First Energy Storage System at PSAs Pasir Panjang Terminal',How much can the ESS reduce the port's carbon footprint by?,"1,000 tCO2e per annum."
106,EMA: b'Singapores First Energy Storage System at PSAs Pasir Panjang Terminal',Who are the partners in this project?,Energy Market Authority (EMA) and PSA Corporation Ltd (PSA).
107,EMA: b'Singapores First Energy Storage System at PSAs Pasir Panjang Terminal',What role does the ESS play in the National Electricity Market of Singapore?,It provides ancillary services and generates revenue.
108,EMA: b'Singapores First Energy Storage System at PSAs Pasir Panjang Terminal',What is the goal for deploying ESS in Singapore beyond 2025?,At least 200 MW.
109,EMA: b'Singapores First Energy Storage System at PSAs Pasir Panjang Terminal',What is the total cost of the partnership between EMA and PSA?,$8 million.
110,EMA: b'Energy Storage Solutions Deployed in Singapore For a More Sustainable Future',What is the capacity of Singapore's first utility-scale Energy Storage System (ESS)?,2.4MW/2.4MWh
111,EMA: b'Energy Storage Solutions Deployed in Singapore For a More Sustainable Future',What is the equivalent power capacity of the utility-scale ESS?,Powering over 200 four-room HDB households for a day
112,EMA: b'Energy Storage Solutions Deployed in Singapore For a More Sustainable Future',What challenges does the ESS mitigate for solar energy?,Intermittency
113,EMA: b'Energy Storage Solutions Deployed in Singapore For a More Sustainable Future',What insights will the ESS provide in Singapore's environment?,ESS performance in hot and humid conditions
114,EMA: b'Energy Storage Solutions Deployed in Singapore For a More Sustainable Future',What is the target solar deployment by 2030?,At least 2 gigawatt-peak
115,EMA: b'Energy Storage Solutions Deployed in Singapore For a More Sustainable Future',Where has distributed ESS been deployed in Punggol?,Electrical switchrooms for five HDB blocks
116,EMA: b'Energy Storage Solutions Deployed in Singapore For a More Sustainable Future',What has EMA commissioned for ESS development?,Singapore's first ESS Technology Roadmap
117,EMA: b'Energy Storage Solutions Deployed in Singapore For a More Sustainable Future',What guidelines and handbook has EMA published?,Technical guidelines and a handbook for ESS deployment
118,EMA: b'Energy Storage Solutions Deployed in Singapore For a More Sustainable Future',Who has EMA partnered with to develop ESS solutions?,"Industry stakeholders, research community, and government agencies"
119,EMA: b'Energy Storage Solutions Deployed in Singapore For a More Sustainable Future',What is the purpose of the ESS in supporting solar deployment?,To address solar intermittency and support solar energy
